id,type,location,price,popularity,duration_hours,cluster
E001,Comedy,Chennai,176,363,3,2
E002,Music,Bangalore,638,664,5,0
E003,Workshop,Hyderabad,100,485,5,2
E004,Sports,Chennai,341,245,3,2
E005,Tech,Hyderabad,876,255,5,2
E006,Workshop,Bangalore,605,984,5,0
E007,Comedy,Bangalore,447,553,3,2
E008,Comedy,Bangalore,700,785,1,0
E009,Sports,Hyderabad,485,711,5,0
E010,Comedy,Chennai,260,931,2,0
E011,Comedy,Bangalore,538,252,5,2
E012,Music,Mumbai,286,775,1,0
E013,Music,Bangalore,482,122,1,2
E014,Tech,Delhi,769,268,1,2
E015,Workshop,Chennai,237,914,5,0
E016,Comedy,Delhi,684,857,2,0
E017,Comedy,Hyderabad,497,318,1,2
E018,Comedy,Mumbai,1000,324,2,2
E019,Tech,Delhi,598,867,4,0
E020,Sports,Chennai,164,731,4,0
E021,Music,Mumbai,114,631,2,0
E022,Tech,Bangalore,182,370,2,2
E023,Comedy,Delhi,296,769,1,0
E024,Sports,Delhi,864,494,3,2
E025,Comedy,Mumbai,681,724,4,0
P001,Villa,Delhi,22616,145,57,1
P002,Apartment,Delhi,23280,471,29,3
P003,Studio,Hyderabad,15337,297,62,1
P004,Villa,Mumbai,22010,466,12,3
P005,Bungalow,Chennai,15983,268,22,3
P006,Villa,Bangalore,21119,95,32,3
P007,Penthouse,Mumbai,15774,285,63,1
P008,Bungalow,Bangalore,13075,320,62,1
P009,Studio,Delhi,17735,218,16,3
P010,Apartment,Delhi,14022,89,9,3
P011,Penthouse,Delhi,11363,375,60,1
P012,Apartment,Bangalore,12652,214,15,3
P013,Apartment,Delhi,12913,93,64,1
P014,Studio,Hyderabad,16969,499,65,1
P015,Villa,Delhi,24079,78,7,3
P016,Penthouse,Chennai,14316,176,44,1
P017,Bungalow,Chennai,15499,138,13,3
P018,Bungalow,Mumbai,12934,82,15,3
P019,Studio,Chennai,20827,247,18,3
P020,Penthouse,Hyderabad,24345,312,17,3
P021,Penthouse,Chennai,18778,271,31,3
P022,Penthouse,Bangalore,16830,288,47,1
P023,Penthouse,Bangalore,22944,144,57,1
P024,Bungalow,Delhi,9067,352,66,1
P025,Bungalow,Hyderabad,13547,462,25,3
